wzi_allele	wzi	associated_KL_type	associated_K_type
1	1	KL1	K1
2	2	KL2KL30	K2
3	3	KL3	K3
4	4	KL2	K2
5	5	KL5	K5
6	6	KL6	K6
7	7	KL7	K7
8	8	KL8KL22KL37	K8
9	9	KL9	K9
10	10	KL10	K10
11	11	KL11	K11
12	12	KL12	K12K29
13	13	KL13	K13
14	14	KL14	K14
15	15	KL35	K35
16	16	KL16KL143	K16
17	17	KL14	K14
18	18	KL18	K18
19	19	KL19	K19
20	20	KL20	K20
21	21	KL21	K21
22	22	KL22KL37KL8KL30KL151	K22.37
23	23	KL14	K23K14
24	24	KL24KL54KL55	K24
25	25	KL25	K25
26	26	KL27	K27
27	27	KL27	K27
28	28	KL28	K28
29	29	KL106	K41
30	30	KL30	K30
31	31	KL31	K31
32	32	KL31	K31
33	33	KL64	
34	34	KL57KL34	K34
35	35	KL35	K35
36	36	KL36	K36
37	37	KL22KL37	K22.37
38	38	KL38	K38
39	39	KL39KL13	K39
40	40	KL3	K3
41	41	KL126	
42	42	KL42	K42
43	43	KL43	K43
44	44	KL123	
45	45	KL45	K45
46	46	KL61KL13	K46K61
47	47	KL47	K47
48	48	KL48	K48
49	49	KL49	K49
50	50	KL15KL17KL51KL52	K15K17K50K51K52
51	51	KL27	K27
52	52	KL52	K52
53	53	KL53	K53
54	54	KL54	K54
55	55	KL55	K55
56	56	KL55	K56
57	57	KL57	K57
58	58	KL58	K58
59	59	KL3	K3
60	60	KL60	K60
61	61	KL55	K22.37
62	62	KL62	K62
63	63	KL63	K63
64	64	KL64	K14.K64
65	65		
66	66	KL19	K54
67	67		
68	68		
69	69	KL143KL101	K_P2008
70	70		
71	71	KL71	K71
72	72	KL2	K2
73	73	KL104	
74	74	KL103	K47
75	75	KL105	
76	76		K58
77	77		K57
78	78		K6
79	79	KL10	K10
80	80	KL80	K80
81	81	KL81KL120	K81
82	82	KL23KL18KL38	K23
83	83	KL23	K23
84	84	KL28	K28
85	85	KL30	K30
86	86	KL125	
87	87	KL121	
88	88	KL157	
89	89	KL110	
90	90	KL22KL37KL8	K37
91	91		K14
92	92		K14
93	93	KL112	K60
94	94	KL62	
95	95	KL20	K20
96	96	KL38	K38
97	97	KL46	
98	98		K35
99	99	KL128	K31
100	100	KL10	K10
101	101	KL24	K24
102	102		K31
103	103	KL2	K2
104	104	KL51	
105	105	KL108	K47
106	106		K11
107	107		K22.37
108	108	KL118	K80
109	109	KL36	
110	110	KL149	
111	111	KL25	K25
112	112	KL13KL39	K19
113	113	KL111	K26
114	114	KL30KL2KL8KL111	K30
115	115	KL54	K54
116	116	KL19	
117	117	KL54	
118	118	KL146	
119	119	KL24	K25
120	120		K22.37
121	121	KL43	K43
122	122	KL121	
123	123	KL136	
124	124	KL105	K41
125	125		K2
126	126		K2
127	127	KL4	K4
128	128	KL1KL22KL37	K1
129	129	KL4	K4
130	130	KL58	
131	131	KL3	K3
132	132	KL3	K3
133	133	KL25	K25
134	134	KL30	K30
135	135	KL3	K3
136	136		K35
137	137	KL17	K17
138	138		K30
139	139		
140	140		K55
141	141	KL25	
142	142		K19
143	143	KL151	
144	144		K32
145	145		K35
146	146		K44
147	147		K79
148	148		K72
149	149	KL62	K62
150	150	KL163KL27KL46	
151	151	KL48	
152	152		
153	153		
154	154	KL107	
155	155	KL35	K35
156	156		K1
157	157	KL2	
158	158	KL51	
159	159	KL30	
160	160	KL39	
161	161	KL13	
162	162	KL122	K35
163	163		
164	164		K113
165	165		
166	166		
167	167	KL124	
168	168	KL25	
169	169	KL23	K23
170	170	KL134	
171	171	KL53	
172	172	KL1	K1
173	173	KL102KL149KL155	
174	174	KL74	
175	175		
176	176		
177	177	KL125KL114	
178	178		
179	179	KL122	
180	180	KL116	
181	181	KL133	
182	182	KL57	
183	183	KL21	
184	184	KL45	
185	185	KL46	
186	186	KL2	
187	187	KL27	
188	188	KL125	
189	189		
190	190		
191	191		
192	192	KL9	
193	193	KL125	
194	194	KL108	
195	195		
196	196		
197	197	KL141	
198	198	KL67	
199	199	KL110	
201	201	KL60	
202	202	KL127KL155	
203	203	KL2	
205	205	KL2	
206	206	KL57	
207	207	KL114	
208	208	KL5	
209	209	KL47	
210	210	KL103	
211	211	KL109	
212	212	KL113	
213	213	KL115	
214	214	KL116	
215	215	KL117	
216	216	KL119	
217	217	KL123	
218	218	KL18	
219	219	KL25	
220	220	KL30	
221	221	KL38	
222	222	KL45	
223	223	KL46	
224	224	KL49	
225	225	KL56	
226	226	KL6	
227	227	KL60	
228	228	KL81	
229	229	KL7	
230	230	KL81	
231	231	KL101	
232	232	KL1	
233	233	KL1	
234	234	KL10	
235	235	KL10	
236	236	KL10	
238	238	KL11	
240	240	KL12	
241	241	KL13	
242	242	KL13	
243	243	KL13	
244	244	KL14	
245	245	KL15	
246	246	KL15	
247	247	KL16	
248	248	KL16	
249	249	KL16	
250	250	KL16	
251	251	KL16	
252	252	KL17	
253	253	KL17	
254	254	KL18	
255	255	KL2	
256	256	KL2	
257	257	KL2	
258	258	KL2	
259	259	KL20	
260	260	KL20	
261	261	KL21	
262	262	KL21	
263	263	KL21	
264	264	KL22KL37	
265	265	KL24	
266	266	KL24	
267	267	KL24KL142	
268	268	KL25	
269	269	KL25	
270	270	KL25	
271	271	KL3	
272	272	KL30	
273	273	KL30	
274	274	KL30	
275	275	KL30KL38	
276	276	KL30	
277	277	KL31	
278	278	KL35	
279	279	KL35	
280	280	KL35	
281	281	KL38	
282	282	KL39	
283	283	KL4	
284	284	KL4	
285	285	KL43	
286	286	KL45	
287	287	KL45	
288	288	KL46	
289	289	KL47	
290	290	KL47	
291	291	KL48	
292	292	KL48	
293	293	KL48	
294	294	KL49	
295	295	KL49	
296	296	KL5	
297	297	KL5	
298	298	KL51	
299	299	KL51	
300	300	KL51	
301	301	KL52	
303	303	KL54	
304	304	KL54	
305	305	KL55	
306	306	KL55	
307	307	KL56	
309	309	KL57	
310	310	KL57	
311	311	KL58	
312	312	KL6	
313	313	KL6	
314	314	KL6	
315	315	KL6	
316	316	KL6	
317	317	KL6	
318	318	KL60	
319	319	KL60	
320	320	KL61	
321	321	KL61	
322	322	KL62	
323	323	KL62	
324	324	KL63	
325	325	KL56KL63KL114KL148	
326	326	KL63	
327	327	KL63	
328	328	KL64	
329	329	KL64	
330	330	KL64	
331	331	KL7	
333	333	KL71	
334	334	KL8	
335	335	KL9	
336	336	KL9	
337	337	KL103	
338	338	KL105	
339	339	KL105	
340	340	KL107	
341	341	KL107	
342	342	KL109	
343	343	KL109	
345	345	KL110	
346	346	KL110	
347	347	KL111	
349	349	KL147KL112	
350	350	KL113	
351	351	KL113	
352	352	KL113	
354	354	KL114	
355	355	KL114	
356	356	KL117	
357	357	KL120	
358	358	KL120	
359	359	KL121	
360	360	KL122	
361	361	KL126	
362	362	KL130	
363	363	KL131	
364	364	KL132	
365	365	KL132	
366	366	KL133	
367	367	KL133	
368	368	KL134	
369	369	KL135	
370	370	KL137	
371	371	KL138	
372	372	KL139	
373	373	KL140	
374	374	KL140	
375	375	KL142	
376	376	KL142	
377	377	KL142	
378	378	KL142	
379	379	KL143	
380	380	KL158	
381	381	KL159	
382	382	KL101	
383	383	KL102	
384	384	KL102	
385	385	KL22KL37	
387	387	KL124	
388	388	KL63	
390	390	KL22KL37	
391	391	KL123	
392	392	KL17	
394	394	KL153	
397	397	KL127	
398	398	KL67KL146	
399	399	KL130	
401	401	KL22KL37	
403	403	KL25	
405	405	KL123	
406	406	KL3	
407	407	KL57	
408	408	KL2	
410	410	KL30	
411	411	KL154	
412	412	KL61	
413	413	KL61	
414	414	KL142	
415	415	KL54	
416	416	KL142	
417	417	KL151KL46	
418	418	KL48	
419	419	KL7	
420	420	KL10	
421	421	KL22KL37	
422	422	KL126	
423	423	KL56	
424	424	KL151	
425	425	KL127	
427	427	KL151	
428	428	KL133	
429	429	KL105	
430	430	KL101	
431	431	KL14	
432	432	KL64	
433	433	KL35	
434	434	KL8	
435	435	KL149	
436	436	KL28	
437	437	KL121	
438	438	KL144	
439	439	KL144	
440	440	KL151	
441	441	KL46	
443	443	KL10	
444	444	KL149	
445	445	KL141	
446	446	KL105	
447	447	KL124	
449	449	KL70	
450	450	KL2	
452	452	KL149	
453	453		
454	454		
455	455		
456	456		
457	457		
458	458		
459	459		
460	460		
461	461		
462	462		
463	463		
464	464		
465	465		
466	466		
467	467		
468	468		
469	469		
470	470		
471	471		
472	472		
473	473		
474	474		
475	475		
476	476		
477	477		
478	478		
479	479		
480	480		
481	481		
482	482		
483	483		
484	484		
485	485		
556	556		
557	557		
558	558		
559	559		
560	560		
561	561		
563	563	KL111
